0				    
6572				    10.7
6575				    10.6
6579				    10.6
6583				    10.5
6587				    10.5
6590				    10.5
6594				    10.5
6598				    10.5
6602				    10.5
6606				    10.5
6609				    10.5
6614				    10.2
6617				    10.2
6621				    10.0
6625				    10.0
6629				    11.1
6634				    11.1
6638				    11.1
6642				    11.5
6646				    11.5
6650				    11.4
6654				    11.4
6658				    11.5
6662				    11.5
6666				    11.5
6670				    11.5
6674				    11.5
6678				    11.5
6682				    11.5
6686				    11.2
6690				    11.2
6695				    12.3
6698				    12.3
6702				    12.3
6706				    12.3
6710				    12.5
6714				    12.5
6718				    12.6
6722				    13.2
6726				    13.5
6730				    13.5
6734				    13.5
6738				    13.5
6743				    13.5
6747				    13.6
6751				    13.6
6756				    13.6
6760				    13.6
6764				    13.6
6768				    13.6
6772				    13.3
6776				    13.3
6780				    13.2
6785				    13.2
6789				    14.1
6793				    14.1
6797				    14.1
6801				    14.1
6805				    14.3
6810				    14.3
6814				    14.2
6818				    14.2
6822				    14.2
6827				    13.7
6831				    13.5
6835				    13.5
6839				    13.2
6844				    13.2
6848				    13.0
6852				    13.0
6856				    13.0
6860				    13.0
6864				    12.8
6869				    12.8
6873				    12.8
6877				    12.8
6881				    12.8
6885				    12.7
6890				    12.7
6894				    12.6
6898				    12.6
6902				    13.1
6907				    13.1
6911				    13.1
6915				    13.1
6919				    13.1
6923				    13.1
6928				    13.1
6932				    13.0
6936				    13.0
6941				    13.0
6945				    13.0
6950				    12.8
6954				    12.8
6958				    12.9
6962				    13.4
6967				    13.4
6971				    13.4
6975				    13.4
6980				    13.4
6984				    13.2
6988				    13.2
6992				    13.3
6996				    13.3
7000				    13.5
7005				    13.5
7009				    14.0
7013				    13.9
7019				    13.9
7023				    13.6
7027				    13.6
7031				    13.6
7035				    13.6
7040				    13.6
7044				    12.9
7048				    12.9
7052				    12.7
7056				    12.7
7061				    11.8
7065				    11.8
7069				    12.0
7074				    12.0
7078				    12.0
7082				    12.0
7087				    12.0
7091				    12.0
7095				    11.6
7100				    11.5
7104				    11.5
7108				    11.5
7112				    11.5
7116				    11.5
7120				    11.5
7124				    11.8
7129				    11.8
7132				    11.8
7137				    11.8
7141				    11.8
7145				    11.8
7150				    11.8
7155				    11.8
7159				    11.8
7163				    11.8
7167				    11.8
7171				    11.8
7175				    11.8
7180				    11.7
7184				    11.8
7189				    11.8
7193				    11.8
7197				    11.8
7201				    12.0
7205				    12.0
7209				    12.0
7212				    12.0
7216				    12.0
7220				    12.0
7225				    11.5
7229				    11.5
7233				    11.8
7238				    11.8
7242				    11.8
7246				    11.8
7251				    11.7
7255				    11.7
